SCENT_01_RESPONSE,SCENT_02_RESPONSE,SCENT_03_RESPONSE,SCENT_04_RESPONSE,SCENT_05_RESPONSE,SCENT_06_RESPONSE,SCENT_07_RESPONSE,SCENT_08_RESPONSE,SCENT_09_RESPONSE,SCENT_10_RESPONSE,SCENT_11_RESPONSE,SCENT_12_RESPONSE,SCENT_13_RESPONSE,SCENT_14_RESPONSE,SCENT_15_RESPONSE,SCENT_16_RESPONSE,SCENT_17_RESPONSE,SCENT_18_RESPONSE,SCENT_19_RESPONSE,SCENT_20_RESPONSE,SCENT_21_RESPONSE,SCENT_22_RESPONSE,SCENT_23_RESPONSE,SCENT_24_RESPONSE,SCENT_25_RESPONSE,SCENT_26_RESPONSE,SCENT_27_RESPONSE,SCENT_28_RESPONSE,SCENT_29_RESPONSE,SCENT_30_RESPONSE,SCENT_31_RESPONSE,SCENT_32_RESPONSE,SCENT_33_RESPONSE,SCENT_34_RESPONSE,SCENT_35_RESPONSE,SCENT_36_RESPONSE,SCENT_37_RESPONSE,SCENT_38_RESPONSE,SCENT_39_RESPONSE,SCENT_40_RESPONSE
2.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,4.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,1.0,4.0,4.0,1.0,4.0,2.0,1.0
Pizza,Bubble Gum,Menthol,Cherry,Motor Oil,Mint,Banana,Clove,Leather,Coconut,Onion,Raspberry,Licorice,Baby Powder,Cinnamon,Gasoline,Strawberry,Cedar,Chocolate,Wintergreen Gum,Flower,Cotton Candy,Peach,Garlic,Dill Pickle,Pineapple,Rubber Tire,Orange,Apple,Watermelon,Sandalwood,Grass,Smoke,Pine,Grape Candy,Lemon,Soap,Natural Gas,Rose,Peanut
